,Idade,Genero,UF,Regiao_origem,Nivel Ensino,Area Formacao,Situacao Trabalho,Setor,Trabalha como Gestao,Cargo como Gestor(a),Cargo Atual,Nivel,Faixa Salarial,Insatisfacao com a Empresa,Tempo XP em Dados,Tempo XP em Software,Criterios de escolha trabalho,Forma de trabalho atual,Forma de trabalho desejada,Faixa Salarial_number
0,38.0,Masculino,CE,,Pós-graduação,Química / Física,Empregado (CLT),Marketing,1.0,Supervisor/Coordenador,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Benefícios,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,6000.0
1,39.0,Masculino,BA,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Consultoria,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Flexibilidade de trabalho remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,8000.0
2,30.0,Masculino,SC,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,1.0,Supervisor/Coordenador,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,O clima de trabalho/ambiente não é bom,de 1 a 2 anos,de 2 a 3 anos,Oportunidade de aprendizado e trabalhar com referências na área,Modelo 100% presencial,Modelo 100% remoto,12000.0
3,38.0,Feminino,SP,,Pós-graduação,Outras,Empreendedor ou Empregado (CNPJ),Serviços,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Falta de maturidade analítica na empresa,Mais de 10 anos,Menos de 1 ano,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Remuneração/Salário",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,16000.0
4,36.0,Masculino,SC,,Pós-graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Varejo,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,"Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa, O clima de trabalho/ambiente não é bom",de 1 a 2 anos,de 4 a 5 anos,"Maturidade da empresa em termos de tecnologia e dados, Propósito do trabalho e da empresa, Remuneração/Salário",Modelo 100% presencial,Modelo 100% remoto,12000.0
5,,Masculino,SP,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Indústria,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,de 4 a 5 anos,de 1 a 2 anos,Oportunidade de aprendizado e trabalhar com referências na área,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,12000.0
6,24.0,Masculino,SC,,Estudante de Graduação,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Team Leader/Tech Leader,,Gestor,de R$ 3.001/mês a R$ 4.000/mês,,de 1 a 2 anos,de 1 a 2 anos,"Remuneração/Salário, Propósito do trabalho e da empresa, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,4000.0
7,51.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,Mais de 10 anos,Mais de 10 anos,"Propósito do trabalho e da empresa, Reputação que a empresa tem no mercado, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
8,39.0,Masculino,MG,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Alimentício,1.0,Supervisor/Coordenador,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,"Falta de oportunidade de crescimento no emprego atual, Gostaria de receber mais benefícios",de 1 a 2 anos,Menos de 1 ano,"Remuneração/Salário, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% presencial,Modelo 100% presencial,6000.0
9,27.0,Masculino,SP,,Pós-graduação,Outras Engenharias,Empregado (CLT),Telecomunicação,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,Gostaria de trabalhar em em outra área de atuação,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,6000.0
